Date,ARIMA_Forecast,SARIMA_Forecast,LSTM_Forecast
2019-12-31,182.89670127309196,182.64013908891627,279.87778
2020-01-01,182.83082987764814,182.47491352336817,280.75436
2020-01-02,182.92690987417168,182.6048977860257,281.26108
2020-01-03,182.88538733864817,182.8352136378835,281.51303
2020-01-06,182.89354014682488,183.04304623596522,281.59427
2020-01-07,182.88716119511895,182.93376535990149,281.56323
2020-01-08,182.89587513204341,183.52754145785636,281.45966
2020-01-09,182.89064864115485,183.68138123970004,281.30984
2020-01-10,182.8919931200893,183.86400444013185,281.13126
2020-01-13,182.89142579817207,183.91610620347853,280.93488
2020-01-14,182.89222142779636,183.78401362036365,280.72787
2020-01-15,182.89163523813392,183.85197414935857,280.5146
2020-01-16,182.8918369342562,183.79592532088787,280.29785
2020-01-17,182.89177589073006,183.81514557881826,280.07944
2020-01-20,182.89184653512316,183.8892431364246,279.86035
2020-01-21,182.8917845937575,184.07472945113312,279.64133
2020-01-22,182.89181158670897,184.15544117390374,279.42288
2020-01-23,182.89180375529202,184.16857181827373,279.20514
2020-01-24,182.891810060452,184.64332700892746,278.9884
2020-01-27,182.89180383047642,184.74176651544875,278.7728
2020-01-28,182.89180715364427,184.9991991701702,278.55853
2020-01-29,182.89180608841872,185.01669747880717,278.34555
2020-01-30,182.89180668302762,184.97289124732904,278.13406
2020-01-31,182.89180607946136,185.0223502676333,277.9239
2020-02-03,182.89180646243358,184.9583171215324,277.71533
2020-02-04,182.89180631988944,184.96499278211544,277.50827
2020-02-05,182.89180638151697,185.04289132690968,277.3028
2020-02-06,182.89180632422276,185.23142660462605,277.09885
2020-02-07,182.891806366046,185.32078411923393,276.89655
2020-02-10,182.89180634780246,185.32558926614678,276.69574
